Keyword Phrase,Search Volume,Search Volume Trend (%),Search Frequency Rank,Search Frequency Rank Trend (%),Top 3 ASINs Total Click Share,Top 3 ASINs Total Click Share Trend,Top 3 ASINs Total Conv. Share,Top 3 ASINs Total Conv. Share Trend,Top 1 ASIN,Top 1 ASIN Click Share,Top 1 ASIN Click Share Trend,Top 1 ASIN Conv. Share,Top 1 ASIN Conv. Share Trend,Top 2 ASIN,Top 2 ASIN Click Share,Top 2 ASIN Click Share Trend,Top 2 ASIN Conv. Share,Top 2 ASIN Conv. Share Trend,Top 3 ASIN,Top 3 ASIN Click Share,Top 3 ASIN Click Share Trend,Top 3 ASIN Conv. Share,Top 3 ASIN Conv. Share Trend,Competing Products,Top 3 Clicked ASINs Monthly Average Age,Top 3 ASINs Total Monthly Sales,Top 3 ASINs Total Monthly Revenue,Top 3 ASINs Total Review Count,Top 3 ASIN Total Average Rating
the cinnamon bun book store,36708,1962.2,28858,87,98.5,0,78.7,9.3,0008641587,56.3,-5.1,39.2,-8.8,B0CFDPJ1J9,33.1,4.2,39.4,18,B0D54RWJR4,9.2,0.8,0.1,0.1,27,,2928,42574.47,,
save me an orange,36708,-44.9,10419,-78,98.5,-0.1,98.3,-0.6,B0CXB9RDMT,96.7,-0.9,98.2,-0.8,144947425X,0.9,0.4,0.2,0.2,B015X5KBJG,0.8,0.4,0,0,77,,20095,256768.24,63352,3.1
gelmalls glass cleaner,36708,,34535,,46.7,46.7,29.5,29.5,B0DDKZ8G35,34.3,34.3,20.7,20.7,B0DDKWN9QV,6.9,6.9,5.8,5.8,B0DBVJM7DF,5.5,5.5,3,3,373,2,1858,24761.85,5,0.7
cast iron pan,36706,-5.1,8643,1,38.4,0.1,38.1,-0.5,B00006JSUA,23.4,2.6,27.8,1.8,B01FSPRME8,8,-2.2,2.9,-7.4,B00X4WQMAS,7,-0.3,7.4,5.1,4000,140,22079,484250.58,150426,4.6
who,36706,468.8,30597,66,73.2,28.4,0,0,B0D7TS2B23,60.1,36.1,0,0,B0CXF8TKZ6,8.9,-2.7,0,0,B0D1C6FCTT,4.3,-4.9,0,0,100000,,,,,
thermal brush,36706,-27,8887,-20,31.4,-2.5,23.5,0.7,B0CKTDHSRB,16.2,-1.4,13.4,0,B0CGVGVS8N,9.2,-0.8,6,0.6,B0CZL4DSRR,6,-0.3,4,0.1,1000,10,13658,545015.87,3042,4.1
travel stroller,36706,-42,8623,-53,38.1,-6.1,12.9,-5.6,B0BSP4K34F,16.3,-5.6,8.3,-2.1,B07P1YSC18,11,-1.1,2.2,-1.6,B0CXXRN2QS,10.9,0.5,2.4,-1.9,834,31,20725,1705938.8,21682,4.5
vaccum,36706,-48.3,8839,-36,38.2,10.2,33.5,10.8,B06ZY7BTWM,18.2,3.2,14.5,3,B09V5NPHP3,14.7,7.8,15.6,10.3,B00JH98GR4,5.3,-0.8,3.4,-2.5,1000,83,232679,17892890.41,217241,4.4
bulk candy individually wrapped,36706,37.1,8760,25,23,5.7,8.9,1.5,B0CFYXNYMC,11.8,3.6,4.1,0.6,B017VNRKT2,7.5,2.3,3.6,1.2,B0CVXZDCFW,3.7,-0.1,1.3,-0.3,10000,43,19018,505879.32,3322,3.4
portable massage table,36706,743.2,29863,63,66.7,28.3,8.7,-9.6,B0C8JF1J1M,29.5,10.2,0,-9.3,B0D5QJKVV1,29.5,15.8,0,-5.6,B00GO7Y72K,7.8,2.3,8.7,5.3,722,51,2542,154282.57,7056,3
the darkest minds,36706,1.5,22778,-83,89.7,-2.2,58.8,-10.3,B07G2TV2RY,80,-3.4,0,0,B07G2T5SHR,5.4,0.7,0,0,1368023371,4.3,0.5,58.8,-10.3,163,,,,,
skin tag removal kit,36706,5,8486,16,64.5,1.1,57.2,2.3,B0BJQJXCNN,29,-1.8,37.5,17.5,B07MTSL7XX,24.4,-4.3,12.8,-21.2,B0BXVMBCX6,11.1,7.2,6.9,6,222,36,47353,968616.12,20101,3.7
fall door mat,36706,673.7,13928,88,14.5,-5.1,6.7,-1.6,B0C9CDK69L,5.8,-1.6,1.7,-1.9,B0C7G5BNLH,4.4,-2,3.6,1.8,B0C7G1B7L7,4.3,-1.5,1.3,-1.4,7000,16,9671,278473.72,3481,4.7
everybody loves raymond,36706,47.6,9307,32,51.5,18.8,0,0,B0B8QG8ZGD,23.6,10.2,0,0,B0CBPNM6PQ,19.3,8.7,0,0,B0BX2GQ3T9,8.6,-0.1,0,0,381,,,,,
insidious,36706,32.4,9546,26,70.3,2,0,0,B00BR0XHMU,51.7,4.4,0,0,B00YYTJW84,9.7,-1.4,0,0,B00GMOOY1O,8.8,-1,0,0,368,,,,,
serpent queen,36706,23.6,11203,35,62.8,20.9,0,0,B0D49C5DJW,23,0.7,0,0,B0D1CVDFRD,22.8,12.9,0,0,B0D42BYB3J,17,7.2,0,0,67,,,,,
phantasma,36706,4001.2,41193,95,98.6,1.6,87,7.7,B0CXNJDB4B,60.6,3.5,67.5,43.3,1538769255,34.5,-3.8,19.1,-32.6,B0D9R2G6R2,3.4,1.9,0.4,-3,586,,,,,
the gym people,36706,1.5,16687,-9,15.4,3.2,1.7,0.3,B089R59WXL,7,2.9,0.1,-0.5,B07HQM6NH8,5.1,1,1,0.6,B088M3XH9W,3.3,-0.8,0.6,0.2,9000,,236643,5552104.66,118608,4.4
scrunch socks football,36706,139.4,10889,73,29.6,-4.7,9,-4.5,B0959NTPTY,14.6,-2.8,7,-3.3,B0BVP4F9XG,7.9,-2,0,0,B0C2VJ5F2L,7.1,0,2,-1.2,249,,145773,1436522.36,13977,4.7
jw pei bag,36706,-31.6,10437,-5,26.6,2,4.5,-2.1,B0D46YLXBG,11.2,0.8,0.5,-3.7,B09QKRJ5VM,8.5,1,2.2,1.7,B0D47191F5,6.9,0.2,1.9,-0.1,172,,1693,145445.86,1575,4.5
airpod pro ear tip replacement,36706,-25.8,10091,-36,59.7,3,52.5,4.1,B08HT46TVP,34.2,3.3,31.3,3.7,B0BHZBSWRX,17.5,0.6,15.3,2.4,B09G9TFDWS,8,-1,5.9,-2,503,38,30730,274629.03,27679,4.3
baja gold mineral sea salt,36706,1.4,9772,16,82.6,1.4,69.2,1.6,B0CB4X5TDP,50.7,-0.8,44,-0.4,B0CB4W4PH1,25.7,1.8,21.6,2.1,B009NT3JD4,6.2,0.4,3.6,-0.1,84,65,83902,1291205.02,29343,4.7
oneplus 12,36706,-27.1,10102,-23,71,-1.5,42.4,3.9,B0CQ5MYYZL,34.1,-9.7,19.6,-8.4,B0CQ5M1NXQ,27.7,9.6,15.6,9.7,B0CQ9SZJN6,9.2,-1.4,7.3,2.6,195,9,,,1261,4.5
feeding littles lunches,36706,744.6,14969,89,98.1,0.4,97.2,-0.1,0593797450,96.3,2.3,96.7,1.3,0593419243,1.2,-2,0.3,-1.3,B0CP3GNN7T,0.7,0,0.2,-0.1,980,,18626,371351.76,1013,3.1
fall shoes for women 2024,36706,489.9,12413,89,5.8,-1.1,0.8,-0.9,B0BS6G9WG6,3.3,-1.1,0.8,0.8,B0D5RLYCF8,1.3,-0.1,0,0,B0CJ5D8HW7,1.2,0.1,0,-1.7,1000,,56246,2087666.34,3624,4.3
save america trump book,36706,,40017,,93.8,93.8,94.2,94.2,B0D9HS4CWN,90,90,92.7,92.7,173550372X,2.5,2.5,0.9,0.9,1637581653,1.3,1.3,0.6,0.6,211,,2480,214882.95,2271,1.5
when her walls talk,36706,,37468,,97.8,97.8,0,0,B0CKLVXRN1,88.7,88.7,0,0,B0CKLWS8YR,6.4,6.4,0,0,B0CKLZW191,2.6,2.6,0,0,201,,,,,
plastic containers with lids,36704,87.1,9499,42,23.1,10.5,22.2,9,B0CBMWLTKQ,11,4.7,9.3,1.4,B0159YQCPI,6.8,3.2,6.5,4,B0085UK4GW,5.3,2.5,6.3,3.7,60000,115,58455,508326.35,24155,4.6
magnesium lotion,36704,-76.8,11245,-150,43.5,-26.9,30.1,10.2,B06XXP8YRL,19.4,-30.8,16.5,16.5,B09PVMTM9W,13.1,2.3,13.6,13.5,B0DCZJRFJ9,11,1.7,0,-19.8,718,42,13208,227224.9,7461,2.9
automatic dog feeder,36704,1.5,8978,-7,35.6,-0.5,23.2,3.5,B09S8WMJY9,16.6,0.6,8.6,-0.5,B0BRJVZBF8,10.8,-3.5,10.7,2.4,B09LD2CD1L,8.2,2.4,3.9,1.5,1000,29,30958,1798276.73,21008,4.4
origami paper,36704,19.4,8917,16,32.9,9.1,28.5,7.3,B06XW45PMR,15,3.9,14.9,3.2,0804852413,10,3.1,4.7,1.8,B0BXWH2D18,7.9,2.1,8.9,2.4,6000,57,11115,73609.64,17336,4.7
ugg boots,36704,238.3,11310,69,8.4,-2.1,0.2,0.2,B082HHQBKX,2.9,-1.1,0.2,0.2,B01AY6CF66,2.8,-1,0,0,B0D2TRWGWG,2.7,0,0,0,1000,,5306,692967.23,39537,4.7
party dresses for women,36704,259.2,12158,72,3,0.9,0.2,-1.2,B09HGZ4KM3,1.3,0.5,0,-0.7,B0BGPPR3RL,1,0.3,0.2,-0.5,B09HG8WHPG,0.7,0.1,0,0,50000,,9308,312378.19,13977,4.2
black bodysuit women,36704,23.8,9079,26,8.7,0.4,2.7,0.1,B0B1LVKJ4Q,3.6,0.4,0.4,-1,B0CRB2CG8K,2.6,0,1.3,0.1,B0CSK45Q6V,2.5,-0.1,1.1,1,5000,,132948,4001045.13,37848,4.3
stadium seats for bleachers,36704,609,19073,79,25.6,6.9,15.4,2.1,B09GS5LVTJ,11.6,4.2,7.4,0.5,B003399128,7.7,0.6,5.3,0.2,B07BFCKTRJ,6.3,2.1,2.7,1.3,669,98,27058,939045.58,25322,4.4
halloween party favors,36704,445.6,14590,79,11.1,-3.1,8,-1,B081PN2PZQ,4.2,-1.1,3.1,0.9,B0D3H1916C,4,-0.5,1.9,-3.5,B0D5LY1YL1,2.9,-1.5,3,1.6,10000,23,18721,183753.06,8019,4.4
vampire teeth,36704,181,11857,62,39.6,5.6,34.1,4,B0D5Y5ZQDB,16,3.9,13.5,-0.9,B000RUJJAU,12.8,1.6,7.7,0.3,B09HL4XWWL,10.8,0,13,4.6,1000,114,887,6838.94,12097,4.4
toaster ovens countertop,36704,-28.4,8712,-20,41.7,3.6,43.9,8.5,B0CKLXZRMC,24.6,3.5,28.1,7.2,B00GGFHH4U,11,0.2,10.2,0.9,B0721CGB5F,6.1,-0.1,5.7,0.4,916,77,29844,1316813.72,34852,4.3
fall decorations for home clearance,36704,1060.8,13747,93,14.9,2.7,6.5,1.7,B0BW9C1VF4,6.1,1.1,2.4,2.4,B0B41S8BSV,5.1,1.2,2.8,-2,B0C3TX3726,3.7,0.4,1.3,1.3,70000,22,27912,271931.65,5971,4.4
hallmark movies,36704,32.4,11900,10,13.2,1.6,0,0,B09PHVTJKB,4.8,0.9,0,0,B0B8QT8NN6,4.3,0.4,0,0,B092Q33169,4,0.2,0,0,3000,,,,,
eureka,36704,11.8,9529,10,45.6,-0.1,0,0,B00C0XZKO6,20.9,-3.7,0,0,B00CSBGBWU,14.8,3.9,0,0,B00C14SGQI,9.9,-0.3,0,0,4000,,,,,
corpes bride,36704,415.7,14535,79,94.6,2,0,0,B00C2XKAQW,88,5.1,0,0,B0091XEGTI,4.5,-1.9,0,0,B000GOWSF0,2.1,-1.2,0,0,1000,,,,,
spidey and his amazing friends toys,36704,19.5,8689,12,23.7,0.3,19,4.9,B0CP481DTZ,11,2.2,7.5,-1.2,B08Y5G39FX,6.7,-0.7,7.4,2.8,B08Y5YVSMM,6,-1.2,4.1,3.3,842,27,5601,126263.23,7991,4.8
here one moment liane moriarty,36704,1128,21984,85,93.5,1.6,78.1,23,0593798600,46.6,-11.3,45.3,21.3,B0CVPVD2JL,37.5,13.5,30,1.5,B0CVSJJLW4,9.4,-0.6,2.9,0.2,72,,6371,133837.83,,
greedy people,36704,,30255,,98.4,98.4,0,0,B0DCMDXP8W,88.6,88.6,0,0,B0DCM59VKL,9.4,9.4,0,0,B00D5UGUEW,0.4,0.4,0,0,168,,,,,
bbq grill,36702,-46,10257,-63,20.8,2.3,23.9,4.2,B07FKLK6DG,8.4,0.9,6.2,1.1,B0B4PY2MDQ,7.2,1.3,13.8,8.1,B0B7QF6D8Q,5.3,0,4,-5,3000,43,7139,354575.63,8109,4.4
mini muffin pan,36702,60.2,9400,36,39.3,-4.6,34.1,-5.8,B07VGFFWYG,19.7,0.5,18.4,-0.3,B0BNL6HGNR,10.8,-1.7,9.3,-1.6,B004EBS16G,8.8,-3.5,6.5,-3.9,839,79,28755,296000.36,34114,4.5
castor oil pack,36702,52.8,12450,15,27,-2.1,16.8,2.7,B0CKVMN583,9.2,-1.7,7.2,2.1,B0C55GPTWD,8.9,-0.5,6.2,1.7,B0CNTZ573M,8.9,0,3.4,-1.1,1000,12,21880,779120.67,68422,4.6
iron on letters,36702,37.1,8935,36,20,3.5,12.1,2.7,B0BTZ847JQ,9.1,1,6.4,1.1,B0BN9WWZ24,5.8,1.6,3.5,1.5,B09PQDKGW6,5.1,0.9,2.2,0,4000,25,11895,114022.6,2103,4.3
printer ink,36702,21.6,8691,15,17.4,1.4,16.2,2.5,B08412HXK9,9.7,1.1,8.2,1.3,B08412PTS8,4.2,0.3,4.3,0.3,B00WR23X5I,3.4,-0.1,3.7,1,10000,74,124186,3702566.81,189269,4.7
egg cartons,36702,37.1,9007,28,42.6,1.6,26.4,2.8,B08DL59R2J,27.9,1.4,7.7,0.9,B09WKR1X7F,11.3,0.6,15.9,1.4,B08Y5PBZ1W,3.4,-0.4,2.8,0.5,1000,42,3267,68601.29,5045,4.7
portable projector,36702,-14,9322,-23,31.8,4.6,23.8,3,B0D5XPM2ZC,14,4.5,7.4,-2.3,B082F13J55,13.2,4,13.9,10.3,B0BG2GFCGD,4.5,-3.9,2.5,-5,1000,29,,,26198,4.3
i love lucy,36702,1.4,8787,0,41.5,7.1,0,0,B09QYPD24J,14.5,1.6,0,0,B00C0Y4NM0,14.4,1.6,0,0,B00C15TPK8,12.6,3.9,0,0,1000,,,,,
burger buns,36702,-32,8697,-1,34.7,1.8,32.3,1.3,B083XVLQT3,14.9,1.1,13.5,0.8,B07FW8TYT1,10,-0.8,10.7,-0.7,B009LNQ5EW,9.8,1.5,8.1,1.2,116,82,228,731.96,29864,4.6
ring doorbell mount,36702,-35.5,8906,-45,39,-1.9,33.9,-1.1,B09KY2RRN2,22.6,-0.3,21.5,-0.7,B09H76SMXP,9.3,-1.7,7,-0.3,B09SWC6FPW,7.1,0.1,5.3,-0.1,674,35,17231,329365.51,15102,4.5
pool covers for above ground pools,36702,54.7,12774,42,27.3,9.6,22.1,10,B005FSSSJC,17.3,9.7,15.7,9.5,B07N5FNWHM,6.8,1.4,5.6,2.9,B0C5X95WQB,3.2,-1.6,0.9,-2.4,2000,,14076,841405.46,30955,4.2
perry mason,36702,32.4,9344,27,40.4,10.3,0,0,B077M58ZKC,25.5,7.8,0,0,B077LTPL9N,9.1,2.7,0,0,B077LZDRRG,5.9,-0.1,0,0,1000,,,,,
pretty woman,36702,-16,8733,2,91,4.7,0,0,B09KJ97KTN,77.8,4.7,0,0,B006RXQ3GO,7.6,-0.7,0,0,B078XKYMQP,5.5,0.7,0,0,2000,,,,,
method all purpose cleaner,36702,34.9,9483,16,54.2,4.2,49.3,2.4,B0013FRRMK,21.3,-2.6,20,-2.6,B0013FMNCE,16.7,1.5,14.7,0,B00W28L2L4,16.2,5.3,14.6,5,455,144,34228,172044.44,16930,4.8
photo booth,36702,3.3,12511,4,17.2,-7,1,-0.7,B0BBQQHCRZ,7.2,-8.1,1,0.2,B0DCVJGH7J,5.8,1.2,0,-0.2,B0DB86N8PC,4.2,0,0,-0.6,20000,10,,,76,4.7
souper cubes,36702,55.4,14858,20,50.3,-0.1,25.1,-0.9,B07GSSR5V2,31.4,0.3,16.1,-2.6,B08L7LGRC4,10.4,-0.5,4.3,-0.7,B07W9J64VK,8.4,0.1,4.7,2.5,102,67,9055,343280.47,25652,4.8
wreath door hanger,36702,144.7,12985,52,40.6,4.6,35.6,4.6,B09CK5C6RH,14.4,-1.1,11.4,-1.8,B09WDMMMNR,13.4,3.1,12.6,2.8,B07H4HHNQK,12.8,2.6,11.6,3.6,3000,47,15993,107116.39,30569,4.6
toddler trampoline,36702,47.8,11387,13,34.8,5.4,24.4,13.4,B00AU0O7QI,22.7,8.1,19,16,B0993Q2DZW,7.6,-1.1,2.9,-0.6,B0CNH1N6WJ,4.6,-1.5,2.5,-1.9,483,64,6168,458956.79,35692,4.5
eero mesh wifi system,36702,-39.9,8854,-58,65.1,1.7,52.1,-0.3,B08ZK2BHP2,35.6,2.1,30.7,-0.4,B085WSCTS4,20.7,3,16.7,4,B091G64GVK,8.9,-3.4,4.8,-3.9,297,,5521,1429941.85,31607,4.4
fall tablecloth,36702,710,14756,88,16.1,-3.7,2.8,-1.1,B09D3T4DGL,6.6,-1.3,0.8,0.8,B0BJZCK8RH,5.4,-1,0.7,-0.1,B0BWJ27MT7,4,-1.5,1.4,-1.8,3000,27,4948,89007.64,2928,4.7
fall shower curtain,36702,368.7,11683,83,11.7,-4.2,4.2,0.2,B08CRWNNDM,4.6,-1.2,1.7,0.6,B0BW8BZS79,3.6,-1.8,1.1,-1.1,B0CCXP9GHS,3.6,-1.2,1.4,0.7,3000,29,5908,152101.41,2276,4.7
silver heels,36702,80.2,11000,34,4.2,-1.3,0.1,-0.1,B0CB3G27L2,1.7,-0.3,0.1,0.1,B0CB5WQB8K,1.3,-0.6,0,0,B0B49WC7MC,1.2,-0.5,0,-0.2,5000,,8648,161915.62,3447,4.5
montana west handbags,36702,32.6,12002,9,20.6,8,11.2,9.4,B0CK196ZBK,11.9,6.9,9.4,8.6,B09KNL4SD5,4.8,0.7,1,0.1,B09JW6RV6R,3.8,0.3,0.9,0.7,357,,6279,144055.42,16962,4.5
hell on wheels,36702,-5.2,9505,-3,63.8,4.8,0,0,B0CLTT3RD3,33.3,-4.9,0,0,B0CLHQ41PZ,15.3,0.1,0,0,B0CLHMPT6F,15.2,9.5,0,0,652,,,,,
black skirt for women,36702,37.1,9278,27,4.9,0.6,1,0.1,B09KZLVLN6,1.8,0.1,0.2,-0.3,B085H75XFV,1.7,0.3,0.4,0.1,B0C1NH7KQN,1.5,0.2,0.4,0.3,50000,,24385,420752.2,85634,4.2
home alone,36702,5,9273,11,65.7,-0.7,0,0,B00C3L6CDI,45.5,-1.9,0,0,B00C3L74Y4,13.5,-0.3,0,0,B00AGE6856,6.7,1.5,0,0,3000,,,,,
bourne movies,36702,1.4,9482,20,60.3,9.5,0,0,B0B8MZG11W,36.4,8.3,0,0,B0B6S6VCN9,14.5,0.8,0,0,B00C3LIB9G,9.4,0.3,0,0,1000,,,,,
clorox,36702,19.5,8948,11,30.7,3.5,30.4,1.8,B00HSC9F2C,12.7,2.1,13.3,2.2,B000VDT2S2,9.4,1.1,9.2,-0.5,B07HXTYS1W,8.6,0.4,8,0.2,1000,134,197357,2398987.4,113696,4.7
twelve,36702,-8.6,16091,-22,95.3,0.9,0,0,B09PQCGTDR,88.9,3.9,0,0,B09PQ6QQCY,4.6,-2.9,0,0,B09HNCV7LQ,1.8,-0.2,0,0,80000,,,,,
gpu,36702,-39.8,8790,-37,24.5,4.3,23.2,7.8,B08WPRMVWB,13.8,2.3,12.4,1.5,B0CVCG2VPK,5.9,1.4,6.4,3.9,B0971BG25M,4.8,0.5,4.4,2.4,2000,31,,,6570,4.7
the killing,36702,238.4,20086,46,32.2,1.5,0,0,B0CBB8MXJH,14.6,-2.4,0,0,B0CMGHFPZS,9.8,2.9,0,0,B0CM3GF549,7.8,0.9,0,0,60000,,,,,
all souls trilogy by deborah harkness,36702,1171.7,23997,85,74.6,12.3,51.7,15.4,0147517729,41.7,2,33.8,10.1,B004DI7HZ6,17.7,5.3,6.8,-1.5,B00PGMRAC8,15.2,5.1,11.1,6.9,98,,2735,104485.88,11255,1.5
ofertas del dia de hoy relampago,36702,-14,8959,-17,9.2,1,8.8,0.1,B08L7KWMBQ,3.7,0.8,3.9,2.1,B0C6GTHRL2,2.9,0.1,3.3,-2.1,B0BZY7J82C,2.6,0.1,1.6,0.1,4000,28,47207,429370.21,14916,4.3
bel-air,36702,1506.9,15345,92,89.8,39.1,0,0,B0B8T9W67Y,40,18.7,0,0,B0B784VNVG,33.7,13.9,0,0,B0B8TNZBNR,16.1,6.5,0,0,494,,,,,
kinds of kindness,36702,4223,44744,95,84.8,46.3,0,0,B0CVFNJ68Y,60.5,39.1,0,0,B0CVFNDKJK,13.4,4.2,0,0,B0DC3316J5,10.9,3,0,0,1000,,,,,
egg,36701,23.7,9402,14,21.6,-0.1,18.8,0.2,B074QX4K49,7.5,-0.6,6.7,0.3,B07ZS6WCZG,7.2,0.2,5.8,-0.7,B01MZHDHVM,6.9,0.2,6.4,0.5,8000,77,135,1420.18,37279,4.8
spice grinder,36701,11.8,8821,5,30.8,-3.7,29.1,0.4,B07SYTRPSG,15.6,-3.2,11,-6.7,B00004SPEU,9.2,0.2,11,7.2,B08PPGLK8Z,6.1,-0.7,7,-0.1,4000,117,30566,538721.76,79739,2.9
mouse repellent,36701,52.8,9908,26,27.7,3,20,2.2,B07JMDYDVJ,12.6,3.3,10.8,4.3,B012RGQ936,7.9,-0.2,5,-0.7,B0C52Z94TC,7.2,-0.1,4.2,-1.4,907,,51893,1422139.41,27022,4
warhammer 40k,36701,19.7,10530,21,25.1,5.5,19.4,7.7,B0CBKH9V27,16.7,6.9,10.8,4.7,B0CBKJVLFB,4.3,-1.5,1,-0.5,B0CVSC88SN,4.2,0.2,7.6,3.6,4000,13,1898,178570.86,324,2.9
halloween costumes for girls,36701,270.5,13839,75,10.1,0.3,2.8,-0.3,B0C7KRFCYV,5.3,0.9,2.8,1.2,B0CSFFFFT6,2.4,-0.5,0,-1.5,B0CDBVFPCS,2.4,-0.2,0,0,90000,,619,17225.89,359,4.3
wedding rings for women,36701,1.4,8909,3,7,1.7,0.4,0,B014WC3HHE,2.6,0.7,0.2,0.1,B07NZPFR7J,2.3,0.5,0.2,0,B09KXC1F21,2.2,0.5,0.1,0,30000,,2720,41216.74,10332,2.7
postpartum belly band,36701,1.4,9404,-1,39.7,-5.8,19.1,4,B07T8H2MPY,17.5,0.1,6.2,0.3,B09QRHY95G,13.4,-2.5,9.9,3.5,B082128ZKB,8.8,-3.3,3,0.3,2000,,17191,441577.49,20151,4.1
heel pads for shoes,36701,37.2,9570,28,19.2,2.5,9.5,0.2,B0BC8MT8KY,9.2,3.5,5.9,2.1,B076S89NSV,5.8,0.2,1.7,-0.3,B09NKP7NGK,4.2,-1.2,1.9,-1.6,4000,60,29452,320673.09,29716,4.2
candida overgrowth treatment,36701,708.9,24908,72,51.1,7.3,41.9,5.9,B09RVQRVL9,24.2,5.1,24.4,5.9,B000E7R3FY,13.7,-2.9,11,-1.9,B003N8GNDO,13.2,5.2,6.5,2,126,149,13208,301100.41,4569,4.4
pla filament,36701,-14,8874,-9,23,-0.7,15.6,3.5,B07XG3RM58,9.4,0.3,6.1,2.6,B0BM739JRF,6.9,-0.5,3.9,-0.9,B0C4TNQZYY,6.7,-0.5,5.5,1.8,2000,34,31265,573870.45,27630,4.5
pleated skirts for women,36701,30.3,9371,18,10.6,1.3,1,-0.4,B0BZS42RGP,3.9,-1,0.3,0.2,B0CTSCK1R6,3.4,1.1,0.2,-0.7,B08KW9VYM7,3.4,1.3,0.5,0,20000,,41338,736787.15,10012,4.3
fashion tape,36701,21.6,9224,17,63.2,-3.2,58,1.4,B005NS9REY,26.5,-6.2,23.8,-0.5,B01K2CMFVM,21.2,-0.3,19.2,-1.8,B0C1CV949Z,15.5,3.3,15,3.8,749,125,97118,967562.65,43328,4.4
oscillococcinum,36701,95,10546,52,81.5,3.6,73.4,4.3,B0078W0QOI,39.5,-4.7,41.8,-3.9,B07P9WFL2J,33,8.2,24.4,9.3,B07Y51PNSZ,9.1,0.1,7.2,-1.2,140,101,53989,1784268.55,60795,4.8
lululemon leggings,36701,19.6,9008,15,24.4,2.7,4.4,0.9,B07HQM6NH8,9.9,1.7,3.6,1.7,B07ZS3WQ7H,9.7,2.3,0.9,-0.7,B08531FWJ6,4.8,-1.4,0,0,3000,,95098,2243641.38,54410,4.4
halloween wreath,36701,259.5,12517,76,17.5,-5.4,8.7,-2.7,B0B61LCRTC,6.8,-4,4.6,-2.1,B0CR3M1SR6,6.2,-1.8,2.4,-1.2,B0CQZLCFB9,4.6,0.4,1.7,0.7,4000,16,810,27830.25,183,4.3
dayquil,36701,52.9,9762,30,47.6,1.7,42.7,0.9,B005ZQP478,21.7,3.2,19,2.8,B07HGF63BS,16.2,-0.1,16.9,-1,B00796NI1Q,9.8,-1.4,6.9,-0.8,221,127,16153,252907.96,15167,4.8
fight club,36701,130.2,10175,58,69,29.4,57.2,3.2,B0CWW263DD,57.9,36.9,0,0,0393355942,6.9,-5.2,57.2,3.2,B00CUXY9YI,4.2,-2.4,0,0,2000,,2135,21223.47,15425,1.5
honey sticks,36701,37.2,9427,26,38.8,1.1,27.5,-0.5,B0187ZPFI6,15,-0.7,10.3,-0.6,B01JHLBEES,12.5,-0.7,6.3,-5.5,B0187T5AHS,11.3,2.5,10.9,5.6,9000,104,46315,518412.81,27171,4.6
sons of anarchy,36701,74,10104,37,67.8,15.3,0,0,B00CUXXOEE,36.6,6.3,0,0,B00C100IG8,17,-0.6,0,0,B00C0YES5W,14.2,9.6,0,0,842,,,,,
dolls,36701,1.4,8638,-9,11.3,0.9,6.8,0.1,B09CB9RBJT,5.5,0,5.2,0.1,B0CG7GC2WY,3,0.4,1.7,0,B07HVFBMHQ,2.9,0.5,0,0,40000,,5555,103946.45,2377,3
green dress,36701,15.9,8780,17,4.6,-1.5,0.6,-0.4,B0CTNW2YZ1,2.6,-1,0.4,-0.5,B0CTP6YWX4,1.3,-0.2,0.1,-0.1,B09TT19SXX,0.8,-0.3,0.2,0.2,50000,,51471,2238005.1,9601,4.1
christmas decor,36701,54.6,10090,34,14.9,0.2,5.9,2.1,B09N1YFGVN,8.7,-0.3,2.2,0.4,B0B6145DJJ,3.7,0.6,2.2,0.7,B06XDCPRGY,2.6,-0.2,1.5,1,100000,57,1421,19288.16,7515,4.4
alice in wonderland,36701,11.9,8866,16,35.7,3.6,0,0,B00D5WNCPU,21.8,2.6,0,0,B00D5XJ8RK,8.4,0.4,0,0,B0B8P3G1ZM,5.6,0.6,0,0,6000,,,,,
mastic gum,36701,15.8,10750,15,41.4,7.5,34.5,9.1,B08L9MWKVS,17.5,5,12.5,4.6,B07KM3JBMC,13,2.2,11.3,1.4,B0013OVVAK,10.9,0.3,10.8,3,183,113,5529,102673.66,5627,4
womens fall dresses,36701,489.6,13390,84,4.1,1,0.3,-0.4,B0D6YY28SS,1.4,0.3,0.1,0.1,B0B9H2V2KD,1.4,0.4,0.1,-0.6,B0D8HM8GP9,1.3,0.3,0.1,0.1,100000,,3466,118240.6,941,4.3
turntable organizer,36701,15.8,15643,-14,85.3,-0.7,16.8,1.4,B0036OQWT0,82.9,-0.4,1.3,0.3,B0B3WSZ3QP,1.6,-0.2,10.9,-0.7,B09YND353B,0.7,-0.1,4.6,1.9,1000,78,13703,290899.95,25839,4.7
philips avent bottle,36701,-28.3,9123,-34,48.7,0.5,37.2,2.4,B0964CHD65,27.5,1.7,20.9,4,B0961QRR5K,10.6,-0.8,6.7,-4.1,B0961KZ9X2,10.6,-0.4,9.6,2.4,313,41,103522,3101894.54,51861,4.7
denzel washington movies,36701,468,11296,83,35.3,5.3,0,0,B0D5BSZJ8K,18.1,-0.5,0,0,B07XCZ3V16,9.4,1.6,0,0,B0B6RKSN19,7.9,4.2,0,0,750,,,,,
